ID,Year,Country name,Latitude,Longitude,Start date,End date,Type,regions,Cause,References,Fatalities,"Losses (mln EUR, 2020)"
1468,2007,Switzerland,47.0505452,8.3054682,04.06.2007,21.06.2007,River,"[(47.0505452, 8.3054682)]",Heavy rainfall (several waves),Brakenridge (2022); Hilker et al. (2008),3,213
1468,2007,Switzerland,47.0571976,8.7222073,04.06.2007,21.06.2007,River,"[(47.0571976, 8.7222073)]",Heavy rainfall (several waves),Brakenridge (2022); Hilker et al. (2008),3,213
1469,2007,Switzerland,46.2303063,7.6605757,07.08.2007,22.08.2007,River,"[(46.2303063, 7.6605757)]",Heavy rainfall (several waves),CRED (2023); Hilker et al. (2008),1,367
1469,2007,Switzerland,46.8382351,7.6004502,07.08.2007,22.08.2007,River,"[(46.8382351, 7.6004502)]",Heavy rainfall (several waves),CRED (2023); Hilker et al. (2008),1,367
1469,2007,Switzerland,46.6789116,7.1027113,07.08.2007,22.08.2007,River,"[(46.6789116, 7.1027113)]",Heavy rainfall (several waves),CRED (2023); Hilker et al. (2008),1,367
1469,2007,Switzerland,47.31874,7.6698284,07.08.2007,22.08.2007,River,"[(47.31874, 7.6698284)]",Heavy rainfall (several waves),CRED (2023); Hilker et al. (2008),1,367
1469,2007,Switzerland,46.9895828,6.9292641,07.08.2007,22.08.2007,River,"[(46.9895828, 6.9292641)]",Heavy rainfall (several waves),CRED (2023); Hilker et al. (2008),1,367
1469,2007,Switzerland,47.5092938,7.6588333,07.08.2007,22.08.2007,River,"[(47.5092938, 7.6588333)]",Heavy rainfall (several waves),CRED (2023); Hilker et al. (2008),1,367
1469,2007,Switzerland,47.412396,8.1948321,07.08.2007,22.08.2007,River,"[(47.412396, 8.1948321)]",Heavy rainfall (several waves),CRED (2023); Hilker et al. (2008),1,367
1469,2007,Switzerland,46.6960615,9.6027351,07.08.2007,22.08.2007,River,"[(46.6960615, 9.6027351)]",Heavy rainfall (several waves),CRED (2023); Hilker et al. (2008),1,367
1469,2007,Switzerland,47.0505452,8.3054682,07.08.2007,22.08.2007,River,"[(47.0505452, 8.3054682)]",Heavy rainfall (several waves),CRED (2023); Hilker et al. (2008),1,367
2886,2007,Switzerland,46.8382351,7.6004502,29.08.2007,30.08.2007,Flash,"[(46.8382351, 7.6004502)]",Extreme rainfall,Hilker et al. (2008),None,60
2887,2009,Switzerland,46.8382351,7.6004502,08.08.2009,08.08.2009,Flash,"[(46.8382351, 7.6004502)]",Extreme rainfall,Hilker et al. (2010),None,10
2887,2009,Switzerland,47.425618,9.3762397,08.08.2009,08.08.2009,Flash,"[(47.425618, 9.3762397)]",Extreme rainfall,Hilker et al. (2010),None,10
2887,2009,Switzerland,47.0505452,8.3054682,08.08.2009,08.08.2009,Flash,"[(47.0505452, 8.3054682)]",Extreme rainfall,Hilker et al. (2010),None,10
2888,2010,Switzerland,46.8382351,7.6004502,06.06.2010,06.06.2010,Flash,"[(46.8382351, 7.6004502)]",Extreme rainfall,Hilker et al. (2011),None,22
2889,2011,Switzerland,47.3960076,9.3705839,10.07.2011,10.07.2011,Flash,"[(47.3960076, 9.3705839)]",Extreme rainfall,Andres et al. (2012),None,10
2890,2011,Switzerland,46.2303063,7.6605757,08.10.2011,10.10.2011,River,"[(46.2303063, 7.6605757)]",Heavy rainfall and snowmelt,Andres et al. (2012),None,77
2890,2011,Switzerland,46.8382351,7.6004502,08.10.2011,10.10.2011,River,"[(46.8382351, 7.6004502)]",Heavy rainfall and snowmelt,Andres et al. (2012),None,77
2890,2011,Switzerland,46.9796562,9.108812,08.10.2011,10.10.2011,River,"[(46.9796562, 9.108812)]",Heavy rainfall and snowmelt,Andres et al. (2012),None,77
2891,2013,Switzerland,47.412396,8.1948321,02.05.2013,02.05.2013,Flash,"[(47.412396, 8.1948321)]",Extreme rainfall up to 33 mm in 10 min,Andres et al. (2014),1,None
2891,2013,Switzerland,47.3744489,8.5410422,02.05.2013,02.05.2013,Flash,"[(47.3744489, 8.5410422)]",Extreme rainfall up to 33 mm in 10 min,Andres et al. (2014),1,None
2891,2013,Switzerland,47.6960491,8.634513,02.05.2013,02.05.2013,Flash,"[(47.6960491, 8.634513)]",Extreme rainfall up to 33 mm in 10 min,Andres et al. (2014),1,None
2892,2013,Switzerland,47.3744489,8.5410422,31.05.2013,02.06.2013,River,"[(47.3744489, 8.5410422)]",Heavy rainfall,Andres et al. (2014); Sturmarchiv Schweiz (2022),1,40
2892,2013,Switzerland,47.3960076,9.3705839,31.05.2013,02.06.2013,River,"[(47.3960076, 9.3705839)]",Heavy rainfall,Andres et al. (2014); Sturmarchiv Schweiz (2022),1,40
2892,2013,Switzerland,47.3007262,9.3991527,31.05.2013,02.06.2013,River,"[(47.3007262, 9.3991527)]",Heavy rainfall,Andres et al. (2014); Sturmarchiv Schweiz (2022),1,40
2892,2013,Switzerland,47.425618,9.3762397,31.05.2013,02.06.2013,River,"[(47.425618, 9.3762397)]",Heavy rainfall,Andres et al. (2014); Sturmarchiv Schweiz (2022),1,40
2892,2013,Switzerland,47.0571976,8.7222073,31.05.2013,02.06.2013,River,"[(47.0571976, 8.7222073)]",Heavy rainfall,Andres et al. (2014); Sturmarchiv Schweiz (2022),1,40
6004,2014,Switzerland,46.8382351,7.6004502,04.07.2014,28.07.2014,River,"[(46.8382351, 7.6004502)]",Heavy rainfall (several waves),Andres et al. (2015); Sturmarchiv Schweiz (2022); FloodList (2022),1,65
6004,2014,Switzerland,47.425618,9.3762397,04.07.2014,28.07.2014,River,"[(47.425618, 9.3762397)]",Heavy rainfall (several waves),Andres et al. (2015); Sturmarchiv Schweiz (2022); FloodList (2022),1,65
6004,2014,Switzerland,47.0505452,8.3054682,04.07.2014,28.07.2014,River,"[(47.0505452, 8.3054682)]",Heavy rainfall (several waves),Andres et al. (2015); Sturmarchiv Schweiz (2022); FloodList (2022),1,65
6006,2015,Switzerland,47.0505452,8.3054682,07.06.2015,07.06.2015,Flash,"[(47.0505452, 8.3054682)]",Extreme rainfall above 50 mm in 1 h,Andres et al. (2016); Sturmarchiv Schweiz (2022); FloodList (2022),2,None
